"year","month","day","week","death","temp"
2001,9,1,1549,42,15.9707580566406
2001,9,2,1549,38,16.1346984863281
2001,9,3,1550,42,16.7302795410156
2001,9,4,1550,46,13.7685485839844
2001,9,5,1550,43,13.9231201171875
2001,9,6,1550,43,15.6345153808594
2001,9,7,1550,50,15.7222534179688
2001,9,8,1550,39,15.5434814453125
2001,9,9,1550,46,12.5302062988281
2001,9,10,1551,46,12.3833862304688
2001,9,11,1551,40,13.1865173339844
2001,9,12,1551,51,15.7800842285156
2001,9,13,1551,41,14.286279296875
2001,9,14,1551,40,13.0382934570313
2001,9,15,1551,44,12.9946228027344
2001,9,16,1551,36,12.5545593261719
2001,9,17,1552,37,11.1644836425781
2001,9,18,1552,47,12.0808349609375
2001,9,19,1552,40,12.0678344726563
2001,9,20,1552,46,13.4987121582031
2001,9,21,1552,37,12.7007385253906
2001,9,22,1552,41,11.7325378417969
2001,9,23,1552,58,11.8791137695313
2001,9,24,1553,42,11.7777038574219
2001,9,25,1553,56,11.7278686523438
2001,9,26,1553,49,12.1374145507813
2001,9,27,1553,48,15.0929809570313
2001,9,28,1553,41,15.9805847167969
2001,9,29,1553,43,14.9795166015625
2001,9,30,1553,47,15.310693359375
2001,10,1,1554,41,17.8968139648438
2001,10,2,1554,44,19.7803894042969
2001,10,3,1554,35,15.7000061035156
2001,10,4,1554,37,13.3393798828125
2001,10,5,1554,55,15.2387023925781
2001,10,6,1554,42,15.4341064453125
2001,10,7,1554,39,15.2509399414063
2001,10,8,1555,51,14.4539123535156
2001,10,9,1555,43,14.0992065429688
2001,10,10,1555,59,12.6094299316406
2001,10,11,1555,43,12.6096435546875
2001,10,12,1555,53,15.2263732910156
2001,10,13,1555,41,17.1917358398438
2001,10,14,1555,45,16.11416015625
2001,10,15,1556,41,16.2959228515625
2001,10,16,1556,47,13.2147766113281
2001,10,17,1556,55,14.7383056640625
2001,10,18,1556,51,15.4046569824219
2001,10,19,1556,46,15.7771545410156
2001,10,20,1556,41,15.9454284667969
2001,10,21,1556,38,13.9298034667969
2001,10,22,1557,55,14.0371948242188
2001,10,23,1557,46,14.5475708007813
2001,10,24,1557,54,12.8571716308594
2001,10,25,1557,46,13.9423156738281
2001,10,26,1557,45,13.1496826171875
2001,10,27,1557,41,14.2849975585938
2001,10,28,1557,41,12.1166320800781
2001,10,29,1558,34,13.2990356445313
2001,10,30,1558,46,14.2902770996094
2001,10,31,1558,52,13.2153869628906
2001,11,1,1558,46,7.6972595214844
2001,11,2,1558,38,7.6717468261719
2001,11,3,1558,47,7.46624145507815
2001,11,4,1558,45,6.58803710937502
2001,11,5,1559,43,8.31697998046877
2001,11,6,1559,47,9.2919860839844
2001,11,7,1559,50,12.320458984375
2001,11,8,1559,56,8.20037231445315
2001,11,9,1559,44,3.7126403808594
2001,11,10,1559,43,1.43975219726565
2001,11,11,1559,38,2.29903564453127
2001,11,12,1560,49,8.55693969726565
